0,Player,Team,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
56,Taysom Hill,NO,3,7,42.9,0.4,64,9.1,4,0,1,3,42.9,44,1,1,1,36.3
57,Matt Cassel,DET,7,17,41.2,8.5,59,3.5,29.5,0,1,2,11.8,11,0,0,1,26.3
58,Joshua Dobbs,PIT,6,12,50,2.4,43,3.6,8.6,0,1,2,16.7,22,1,0,0,24
59,Garrett Gilbert,CAR,2,3,66.7,3,40,13.3,40,0,0,1,33.3,31,1,0,1,109.7
60,Chad Henne,KC,2,3,66.7,3,29,9.7,29,0,0,2,66.7,22,1,0,0,97.9
61,Sean Mannion,LA,2,3,66.7,1,23,7.7,7.7,0,0,1,33.3,18,0,0,0,89.6
62,Nate Sudfeld,PHI,1,2,50,1,22,11,11,1,0,1,50,22,1,0,0,129.2
63,Robert Griffin III,BAL,2,6,33.3,2,21,3.5,7,0,0,1,16.7,14,0,0,0,44.4
64,Matt Schaub,ATL,5,7,71.4,2.3,20,2.9,6.7,0,0,1,14.3,9,0,0,0,74.1
65,AJ McCarron,OAK,1,3,33.3,1.5,8,2.7,4,0,0,0,0,8,0,0,1,42.4
66,Geno Smith,LAC,1,4,25,0.8,8,2,1.6,0,0,0,0,8,0,0,1,39.6
67,Brian Hoyer,NE,1,2,50,0.4,7,3.5,1.4,0,0,0,0,7,0,0,0,58.3
68,Jacoby Brissett,IND,2,4,50,1,2,0.5,0.5,0,0,1,25,4,0,0,0,56.2
68,Kyle Lauletta,NYG,0,5,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0
